"Murder and Nonnegligent Manslaughter","Black or African American","Not Hispanic or Latino","Male","7"
"Murder and Nonnegligent Manslaughter","Black or African American","Not Hispanic or Latino","Missing",""
"Murder and Nonnegligent Manslaughter","Black or African American","Unknown","Female",""
"Murder and Nonnegligent Manslaughter","Black or African American","Unknown","Male","1"
"Murder and Nonnegligent Manslaughter","Black or African American","Unknown","Missing",""
"Murder and Nonnegligent Manslaughter","Black or African American","Missing","Female",""
"Murder and Nonnegligent Manslaughter","Black or African American","Missing","Male",""
"Murder and Nonnegligent Manslaughter","Black or African American","Missing","Missing",""
"Murder and Nonnegligent Manslaughter","American Indian or Alaska Native","Hispanic or Latino","Female",""
"Murder and Nonnegligent Manslaughter","American Indian or Alaska Native","Hispanic or Latino","Male",""
"Murder and Nonnegligent Manslaughter","American Indian or Alaska Native","Hispanic or Latino","Missing",""
"Murder and Nonnegligent Manslaughter","American Indian or Alaska Native","Not Hispanic or Latino","Female",""
"Murder and Nonnegligent Manslaughter","American Indian or Alaska Native","Not Hispanic or Latino","Male",""
"Murder and Nonnegligent Manslaughter","American Indian or Alaska Native","Not Hispanic or Latino","Missing",""
"Murder and Nonnegligent Manslaughter","American Indian or Alaska Native","Unknown","Female",""
"Murder and Nonnegligent Manslaughter","American Indian or Alaska Native","Unknown","Male",""
"Murder and Nonnegligent Manslaughter","American Indian or Alaska Native","Unknown","Missing",""
"Murder and Nonnegligent Manslaughter","American Indian or Alaska Native","Missing","Female",""
"Murder and Nonnegligent Manslaughter","American Indian or Alaska Native","Missing","Male",""
"Murder and Nonnegligent Manslaughter","American Indian or Alaska Native","Missing","Missing",""
"Murder and Nonnegligent Manslaughter","Asian","Hispanic or Latino","Female",""
"Murder and Nonnegligent Manslaughter","Asian","Hispanic or Latino","Male",""
"Murder and Nonnegligent Manslaughter","Asian","Hispanic or Latino","Missing",""
"Murder and Nonnegligent Manslaughter","Asian","Not Hispanic or Latino","Female",""
"Murder and Nonnegligent Manslaughter","Asian","Not Hispanic or Latino","Male","1"
"Murder and Nonnegligent Manslaughter","Asian","Not Hispanic or Latino","Missing",""
"Murder and Nonnegligent Manslaughter","Asian","Unknown","Female",""
"Murder and Nonnegligent Manslaughter","Asian","Unknown","Male",""
"Murder and Nonnegligent Manslaughter","Asian","Unknown","Missing",""
"Murder and Nonnegligent Manslaughter","Asian","Missing","Female",""
"Murder and Nonnegligent Manslaughter","Asian","Missing","Male",""
"Murder and Nonnegligent Manslaughter","Asian","Missing","Missing",""
"Murder and Nonnegligent Manslaughter","Native Hawaiian or Other Pacific Islander","Hispanic or Latino","Female",""
"Murder and Nonnegligent Manslaughter","Native Hawaiian or Other Pacific Islander","Hispanic or Latino","Male",""
"Murder and Nonnegligent Manslaughter","Native Hawaiian or Other Pacific Islander","Hispanic or Latino","Missing",""
"Murder and Nonnegligent Manslaughter","Native Hawaiian or Other Pacific Islander","Not Hispanic or Latino","Female",""
"Murder and Nonnegligent Manslaughter","Native Hawaiian or Other Pacific Islander","Not Hispanic or Latino","Male",""
"Murder and Nonnegligent Manslaughter","Native Hawaiian or Other Pacific Islander","Not Hispanic or Latino","Missing",""
"Murder and Nonnegligent Manslaughter","Native Hawaiian or Other Pacific Islander","Unknown","Female",""
"Murder and Nonnegligent Manslaughter","Native Hawaiian or Other Pacific Islander","Unknown","Male",""
"Murder and Nonnegligent Manslaughter","Native Hawaiian or Other Pacific Islander","Unknown","Missing",""
"Murder and Nonnegligent Manslaughter","Native Hawaiian or Other Pacific Islander","Missing","Female",""
"Murder and Nonnegligent Manslaughter","Native Hawaiian or Other Pacific Islander","Missing","Male",""
"Murder and Nonnegligent Manslaughter","Native Hawaiian or Other Pacific Islander","Missing","Missing",""
"Murder and Nonnegligent Manslaughter","Unknown","Hispanic or Latino","Female",""
"Murder and Nonnegligent Manslaughter","Unknown","Hispanic or Latino","Male",""
"Murder and Nonnegligent Manslaughter","Unknown","Hispanic or Latino","Missing",""
"Murder and Nonnegligent Manslaughter","Unknown","Not Hispanic or Latino","Female",""
"Murder and Nonnegligent Manslaughter","Unknown","Not Hispanic or Latino","Male",""
"Murder and Nonnegligent Manslaughter","Unknown","Not Hispanic or Latino","Missing",""
"Murder and Nonnegligent Manslaughter","Unknown","Unknown","Female",""
"Murder and Nonnegligent Manslaughter","Unknown","Unknown","Male",""
"Murder and Nonnegligent Manslaughter","Unknown","Unknown","Missing",""
"Murder and Nonnegligent Manslaughter","Unknown","Missing","Female",""
"Murder and Nonnegligent Manslaughter","Unknown","Missing","Male",""
"Murder and Nonnegligent Manslaughter","Unknown","Missing","Missing",""
"Murder and Nonnegligent Manslaughter","Missing","Hispanic or Latino","Female",""
"Murder and Nonnegligent Manslaughter","Missing","Hispanic or Latino","Male",""
"Murder and Nonnegligent Manslaughter","Missing","Hispanic or Latino","Missing",""
"Murder and Nonnegligent Manslaughter","Missing","Not Hispanic or Latino","Female",""
"Murder and Nonnegligent Manslaughter","Missing","Not Hispanic or Latino","Male",""
"Murder and Nonnegligent Manslaughter","Missing","Not Hispanic or Latino","Missing",""
"Murder and Nonnegligent Manslaughter","Missing","Unknown","Female",""
"Murder and Nonnegligent Manslaughter","Missing","Unknown","Male",""
"Murder and Nonnegligent Manslaughter","Missing","Unknown","Missing",""
"Murder and Nonnegligent Manslaughter","Missing","Missing","Female",""
"Murder and Nonnegligent Manslaughter","Missing","Missing","Male",""
"Murder and Nonnegligent Manslaughter","Missing","Missing","Missing",""
"Negligent Manslaughter","White","Hispanic or Latino","Female",""
"Negligent Manslaughter","White","Hispanic or Latino","Male",""
"Negligent Manslaughter","White","Hispanic or Latino","Missing",""
"Negligent Manslaughter","White","Not Hispanic or Latino","Female",""
"Negligent Manslaughter","White","Not Hispanic or Latino","Male","1"
"Negligent Manslaughter","White","Not Hispanic or Latino","Missing",""
"Negligent Manslaughter","White","Unknown","Female",""
"Negligent Manslaughter","White","Unknown","Male",""
"Negligent Manslaughter","White","Unknown","Missing",""
"Negligent Manslaughter","White","Missing","Female",""
"Negligent Manslaughter","White","Missing","Male",""
"Negligent Manslaughter","White","Missing","Missing",""
"Negligent Manslaughter","Black or African American","Hispanic or Latino","Female",""
"Negligent Manslaughter","Black or African American","Hispanic or Latino","Male",""
"Negligent Manslaughter","Black or African American","Hispanic or Latino","Missing",""
"Negligent Manslaughter","Black or African American","Not Hispanic or Latino","Female",""
"Negligent Manslaughter","Black or African American","Not Hispanic or Latino","Male",""
"Negligent Manslaughter","Black or African American","Not Hispanic or Latino","Missing",""
"Negligent Manslaughter","Black or African American","Unknown","Female",""
"Negligent Manslaughter","Black or African American","Unknown","Male",""
"Negligent Manslaughter","Black or African American","Unknown","Missing",""
"Negligent Manslaughter","Black or African American","Missing","Female",""
"Negligent Manslaughter","Black or African American","Missing","Male",""
"Negligent Manslaughter","Black or African American","Missing","Missing",""
"Negligent Manslaughter","American Indian or Alaska Native","Hispanic or Latino","Female",""
"Negligent Manslaughter","American Indian or Alaska Native","Hispanic or Latino","Male",""
"Negligent Manslaughter","American Indian or Alaska Native","Hispanic or Latino","Missing",""
"Negligent Manslaughter","American Indian or Alaska Native","Not Hispanic or Latino","Female",""
"Negligent Manslaughter","American Indian or Alaska Native","Not Hispanic or Latino","Male",""
"Negligent Manslaughter","American Indian or Alaska Native","Not Hispanic or Latino","Missing",""
"Negligent Manslaughter","American Indian or Alaska Native","Unknown","Female",""
"Negligent Manslaughter","American Indian or Alaska Native","Unknown","Male",""
"Negligent Manslaughter","American Indian or Alaska Native","Unknown","Missing",""
"Negligent Manslaughter","American Indian or Alaska Native","Missing","Female",""
"Negligent Manslaughter","American Indian or Alaska Native","Missing","Male",""
"Negligent Manslaughter","American Indian or Alaska Native","Missing","Missing",""
"Negligent Manslaughter","Asian","Hispanic or Latino","Female",""
"Negligent Manslaughter","Asian","Hispanic or Latino","Male",""
"Negligent Manslaughter","Asian","Hispanic or Latino","Missing",""
"Negligent Manslaughter","Asian","Not Hispanic or Latino","Female",""
"Negligent Manslaughter","Asian","Not Hispanic or Latino","Male",""
"Negligent Manslaughter","Asian","Not Hispanic or Latino","Missing",""
"Negligent Manslaughter","Asian","Unknown","Female",""
"Negligent Manslaughter","Asian","Unknown","Male",""
"Negligent Manslaughter","Asian","Unknown","Missing",""
"Negligent Manslaughter","Asian","Missing","Female",""
"Negligent Manslaughter","Asian","Missing","Male",""
"Negligent Manslaughter","Asian","Missing","Missing",""
"Negligent Manslaughter","Native Hawaiian or Other Pacific Islander","Hispanic or Latino","Female",""
"Negligent Manslaughter","Native Hawaiian or Other Pacific Islander","Hispanic or Latino","Male",""
"Negligent Manslaughter","Native Hawaiian or Other Pacific Islander","Hispanic or Latino","Missing",""
"Negligent Manslaughter","Native Hawaiian or Other Pacific Islander","Not Hispanic or Latino","Female",""
"Negligent Manslaughter","Native Hawaiian or Other Pacific Islander","Not Hispanic or Latino","Male",""
"Negligent Manslaughter","Native Hawaiian or Other Pacific Islander","Not Hispanic or Latino","Missing",""
"Negligent Manslaughter","Native Hawaiian or Other Pacific Islander","Unknown","Female",""
"Negligent Manslaughter","Native Hawaiian or Other Pacific Islander","Unknown","Male",""
"Negligent Manslaughter","Native Hawaiian or Other Pacific Islander","Unknown","Missing",""
"Negligent Manslaughter","Native Hawaiian or Other Pacific Islander","Missing","Female",""
"Negligent Manslaughter","Native Hawaiian or Other Pacific Islander","Missing","Male",""
"Negligent Manslaughter","Native Hawaiian or Other Pacific Islander","Missing","Missing",""
"Negligent Manslaughter","Unknown","Hispanic or Latino","Female",""
"Negligent Manslaughter","Unknown","Hispanic or Latino","Male",""
"Negligent Manslaughter","Unknown","Hispanic or Latino","Missing",""
"Negligent Manslaughter","Unknown","Not Hispanic or Latino","Female",""
"Negligent Manslaughter","Unknown","Not Hispanic or Latino","Male",""
"Negligent Manslaughter","Unknown","Not Hispanic or Latino","Missing",""
"Negligent Manslaughter","Unknown","Unknown","Female",""
"Negligent Manslaughter","Unknown","Unknown","Male",""
"Negligent Manslaughter","Unknown","Unknown","Missing",""
"Negligent Manslaughter","Unknown","Missing","Female",""
"Negligent Manslaughter","Unknown","Missing","Male",""
"Negligent Manslaughter","Unknown","Missing","Missing",""
"Negligent Manslaughter","Missing","Hispanic or Latino","Female",""
"Negligent Manslaughter","Missing","Hispanic or Latino","Male",""
"Negligent Manslaughter","Missing","Hispanic or Latino","Missing",""
"Negligent Manslaughter","Missing","Not Hispanic or Latino","Female",""
"Negligent Manslaughter","Missing","Not Hispanic or Latino","Male",""
"Negligent Manslaughter","Missing","Not Hispanic or Latino","Missing",""
"Negligent Manslaughter","Missing","Unknown","Female",""
"Negligent Manslaughter","Missing","Unknown","Male",""
"Negligent Manslaughter","Missing","Unknown","Missing",""
"Negligent Manslaughter","Missing","Missing","Female",""
"Negligent Manslaughter","Missing","Missing","Male",""
"Negligent Manslaughter","Missing","Missing","Missing",""
"Justifiable Homicide","White","Hispanic or Latino","Female",""
"Justifiable Homicide","White","Hispanic or Latino","Male",""
"Justifiable Homicide","White","Hispanic or Latino","Missing",""
"Justifiable Homicide","White","Not Hispanic or Latino","Female",""
"Justifiable Homicide","White","Not Hispanic or Latino","Male",""
"Justifiable Homicide","White","Not Hispanic or Latino","Missing",""
"Justifiable Homicide","White","Unknown","Female",""
"Justifiable Homicide","White","Unknown","Male",""
"Justifiable Homicide","White","Unknown","Missing",""
"Justifiable Homicide","White","Missing","Female",""
"Justifiable Homicide","White","Missing","Male",""
"Justifiable Homicide","White","Missing","Missing",""
"Justifiable Homicide","Black or African American","Hispanic or Latino","Female",""
"Justifiable Homicide","Black or African American","Hispanic or Latino","Male",""
"Justifiable Homicide","Black or African American","Hispanic or Latino","Missing",""
"Justifiable Homicide","Black or African American","Not Hispanic or Latino","Female",""
"Justifiable Homicide","Black or African American","Not Hispanic or Latino","Male",""
"Justifiable Homicide","Black or African American","Not Hispanic or Latino","Missing",""
"Justifiable Homicide","Black or African American","Unknown","Female",""
"Justifiable Homicide","Black or African American","Unknown","Male",""
"Justifiable Homicide","Black or African American","Unknown","Missing",""
"Justifiable Homicide","Black or African American","Missing","Female",""
"Justifiable Homicide","Black or African American","Missing","Male",""
"Justifiable Homicide","Black or African American","Missing","Missing",""
"Justifiable Homicide","American Indian or Alaska Native","Hispanic or Latino","Female",""
"Justifiable Homicide","American Indian or Alaska Native","Hispanic or Latino","Male",""
"Justifiable Homicide","American Indian or Alaska Native","Hispanic or Latino","Missing",""
"Justifiable Homicide","American Indian or Alaska Native","Not Hispanic or Latino","Female",""
"Justifiable Homicide","American Indian or Alaska Native","Not Hispanic or Latino","Male",""
"Justifiable Homicide","American Indian or Alaska Native","Not Hispanic or Latino","Missing",""
"Justifiable Homicide","American Indian or Alaska Native","Unknown","Female",""
"Justifiable Homicide","American Indian or Alaska Native","Unknown","Male",""
"Justifiable Homicide","American Indian or Alaska Native","Unknown","Missing",""
"Justifiable Homicide","American Indian or Alaska Native","Missing","Female",""
"Justifiable Homicide","American Indian or Alaska Native","Missing","Male",""
"Justifiable Homicide","American Indian or Alaska Native","Missing","Missing",""
"Justifiable Homicide","Asian","Hispanic or Latino","Female",""
"Justifiable Homicide","Asian","Hispanic or Latino","Male",""
"Justifiable Homicide","Asian","Hispanic or Latino","Missing",""
"Justifiable Homicide","Asian","Not Hispanic or Latino","Female",""
"Justifiable Homicide","Asian","Not Hispanic or Latino","Male",""
"Justifiable Homicide","Asian","Not Hispanic or Latino","Missing",""
"Justifiable Homicide","Asian","Unknown","Female",""
"Justifiable Homicide","Asian","Unknown","Male",""
"Justifiable Homicide","Asian","Unknown","Missing",""
"Justifiable Homicide","Asian","Missing","Female",""
"Justifiable Homicide","Asian","Missing","Male",""
"Justifiable Homicide","Asian","Missing","Missing",""
"Justifiable Homicide","Native Hawaiian or Other Pacific Islander","Hispanic or Latino","Female",""
"Justifiable Homicide","Native Hawaiian or Other Pacific Islander","Hispanic or Latino","Male",""
"Justifiable Homicide","Native Hawaiian or Other Pacific Islander","Hispanic or Latino","Missing",""
"Justifiable Homicide","Native Hawaiian or Other Pacific Islander","Not Hispanic or Latino","Female",""
"Justifiable Homicide","Native Hawaiian or Other Pacific Islander","Not Hispanic or Latino","Male",""
"Justifiable Homicide","Native Hawaiian or Other Pacific Islander","Not Hispanic or Latino","Missing",""
"Justifiable Homicide","Native Hawaiian or Other Pacific Islander","Unknown","Female",""
"Justifiable Homicide","Native Hawaiian or Other Pacific Islander","Unknown","Male",""
"Justifiable Homicide","Native Hawaiian or Other Pacific Islander","Unknown","Missing",""
"Justifiable Homicide","Native Hawaiian or Other Pacific Islander","Missing","Female",""
"Justifiable Homicide","Native Hawaiian or Other Pacific Islander","Missing","Male",""
"Justifiable Homicide","Native Hawaiian or Other Pacific Islander","Missing","Missing",""
"Justifiable Homicide","Unknown","Hispanic or Latino","Female",""
"Justifiable Homicide","Unknown","Hispanic or Latino","Male",""
"Justifiable Homicide","Unknown","Hispanic or Latino","Missing",""
"Justifiable Homicide","Unknown","Not Hispanic or Latino","Female",""
"Justifiable Homicide","Unknown","Not Hispanic or Latino","Male",""
"Justifiable Homicide","Unknown","Not Hispanic or Latino","Missing",""
"Justifiable Homicide","Unknown","Unknown","Female",""
"Justifiable Homicide","Unknown","Unknown","Male",""
"Justifiable Homicide","Unknown","Unknown","Missing",""
"Justifiable Homicide","Unknown","Missing","Female",""
"Justifiable Homicide","Unknown","Missing","Male",""
"Justifiable Homicide","Unknown","Missing","Missing",""
"Justifiable Homicide","Missing","Hispanic or Latino","Female",""
"Justifiable Homicide","Missing","Hispanic or Latino","Male",""
"Justifiable Homicide","Missing","Hispanic or Latino","Missing",""
"Justifiable Homicide","Missing","Not Hispanic or Latino","Female",""
"Justifiable Homicide","Missing","Not Hispanic or Latino","Male",""
"Justifiable Homicide","Missing","Not Hispanic or Latino","Missing",""
"Justifiable Homicide","Missing","Unknown","Female",""
"Justifiable Homicide","Missing","Unknown","Male",""
"Justifiable Homicide","Missing","Unknown","Missing",""
"Justifiable Homicide","Missing","Missing","Female",""
"Justifiable Homicide","Missing","Missing","Male",""
"Justifiable Homicide","Missing","Missing","Missing",""
"Kidnapping/Abduction","White","Hispanic or Latino","Female",""
"Kidnapping/Abduction","White","Hispanic or Latino","Male","17"
"Kidnapping/Abduction","White","Hispanic or Latino","Missing",""
"Kidnapping/Abduction","White","Not Hispanic or Latino","Female","10"
"Kidnapping/Abduction","White","Not Hispanic or Latino","Male","35"
"Kidnapping/Abduction","White","Not Hispanic or Latino","Missing",""
"Kidnapping/Abduction","White","Unknown","Female","2"
"Kidnapping/Abduction","White","Unknown","Male","8"
"Kidnapping/Abduction","White","Unknown","Missing",""
"Kidnapping/Abduction","White","Missing","Female",""
"Kidnapping/Abduction","White","Missing","Male",""
"Kidnapping/Abduction","White","Missing","Missing",""
"Kidnapping/Abduction","Black or African American","Hispanic or Latino","Female",""
"Kidnapping/Abduction","Black or African American","Hispanic or Latino","Male","2"
"Kidnapping/Abduction","Black or African American","Hispanic or Latino","Missing",""
"Kidnapping/Abduction","Black or African American","Not Hispanic or Latino","Female",""
"Kidnapping/Abduction","Black or African American","Not Hispanic or Latino","Male","27"
"Kidnapping/Abduction","Black or African American","Not Hispanic or Latino","Missing",""
"Kidnapping/Abduction","Black or African American","Unknown","Female",""
"Kidnapping/Abduction","Black or African American","Unknown","Male","1"
"Kidnapping/Abduction","Black or African American","Unknown","Missing",""
"Kidnapping/Abduction","Black or African American","Missing","Female",""
"Kidnapping/Abduction","Black or African American","Missing","Male","1"
"Kidnapping/Abduction","Black or African American","Missing","Missing",""
"Kidnapping/Abduction","American Indian or Alaska Native","Hispanic or Latino","Female",""
"Kidnapping/Abduction","American Indian or Alaska Native","Hispanic or Latino","Male",""
"Kidnapping/Abduction","American Indian or Alaska Native","Hispanic or Latino","Missing",""
"Kidnapping/Abduction","American Indian or Alaska Native","Not Hispanic or Latino","Female",""
"Kidnapping/Abduction","American Indian or Alaska Native","Not Hispanic or Latino","Male",""
"Kidnapping/Abduction","American Indian or Alaska Native","Not Hispanic or Latino","Missing",""
"Kidnapping/Abduction","American Indian or Alaska Native","Unknown","Female",""
"Kidnapping/Abduction","American Indian or Alaska Native","Unknown","Male",""
"Kidnapping/Abduction","American Indian or Alaska Native","Unknown","Missing",""
"Kidnapping/Abduction","American Indian or Alaska Native","Missing","Female",""
"Kidnapping/Abduction","American Indian or Alaska Native","Missing","Male",""
"Kidnapping/Abduction","American Indian or Alaska Native","Missing","Missing",""
"Kidnapping/Abduction","Asian","Hispanic or Latino","Female",""
"Kidnapping/Abduction","Asian","Hispanic or Latino","Male",""
"Kidnapping/Abduction","Asian","Hispanic or Latino","Missing",""
"Kidnapping/Abduction","Asian","Not Hispanic or Latino","Female","1"
"Kidnapping/Abduction","Asian","Not Hispanic or Latino","Male","2"
"Kidnapping/Abduction","Asian","Not Hispanic or Latino","Missing",""
"Kidnapping/Abduction","Asian","Unknown","Female",""
"Kidnapping/Abduction","Asian","Unknown","Male","1"
"Kidnapping/Abduction","Asian","Unknown","Missing",""
"Kidnapping/Abduction","Asian","Missing","Female",""
"Kidnapping/Abduction","Asian","Missing","Male",""
"Kidnapping/Abduction","Asian","Missing","Missing",""
"Kidnapping/Abduction","Native Hawaiian or Other Pacific Islander","Hispanic or Latino","Female",""
"Kidnapping/Abduction","Native Hawaiian or Other Pacific Islander","Hispanic or Latino","Male",""
"Kidnapping/Abduction","Native Hawaiian or Other Pacific Islander","Hispanic or Latino","Missing",""
"Kidnapping/Abduction","Native Hawaiian or Other Pacific Islander","Not Hispanic or Latino","Female",""
"Kidnapping/Abduction","Native Hawaiian or Other Pacific Islander","Not Hispanic or Latino","Male",""
"Kidnapping/Abduction","Native Hawaiian or Other Pacific Islander","Not Hispanic or Latino","Missing",""
"Kidnapping/Abduction","Native Hawaiian or Other Pacific Islander","Unknown","Female",""
"Kidnapping/Abduction","Native Hawaiian or Other Pacific Islander","Unknown","Male",""
"Kidnapping/Abduction","Native Hawaiian or Other Pacific Islander","Unknown","Missing",""
"Kidnapping/Abduction","Native Hawaiian or Other Pacific Islander","Missing","Female",""
"Kidnapping/Abduction","Native Hawaiian or Other Pacific Islander","Missing","Male",""
"Kidnapping/Abduction","Native Hawaiian or Other Pacific Islander","Missing","Missing",""
"Kidnapping/Abduction","Unknown","Hispanic or Latino","Female",""
"Kidnapping/Abduction","Unknown","Hispanic or Latino","Male",""
"Kidnapping/Abduction","Unknown","Hispanic or Latino","Missing",""
"Kidnapping/Abduction","Unknown","Not Hispanic or Latino","Female",""
"Kidnapping/Abduction","Unknown","Not Hispanic or Latino","Male",""
"Kidnapping/Abduction","Unknown","Not Hispanic or Latino","Missing",""
"Kidnapping/Abduction","Unknown","Unknown","Female",""
"Kidnapping/Abduction","Unknown","Unknown","Male","1"
"Kidnapping/Abduction","Unknown","Unknown","Missing",""
"Kidnapping/Abduction","Unknown","Missing","Female",""
"Kidnapping/Abduction","Unknown","Missing","Male",""
"Kidnapping/Abduction","Unknown","Missing","Missing",""
"Kidnapping/Abduction","Missing","Hispanic or Latino","Female",""
"Kidnapping/Abduction","Missing","Hispanic or Latino","Male",""
"Kidnapping/Abduction","Missing","Hispanic or Latino","Missing",""
"Kidnapping/Abduction","Missing","Not Hispanic or Latino","Female",""
"Kidnapping/Abduction","Missing","Not Hispanic or Latino","Male",""
"Kidnapping/Abduction","Missing","Not Hispanic or Latino","Missing",""
"Kidnapping/Abduction","Missing","Unknown","Female",""
"Kidnapping/Abduction","Missing","Unknown","Male",""
"Kidnapping/Abduction","Missing","Unknown","Missing",""
"Kidnapping/Abduction","Missing","Missing","Female",""
"Kidnapping/Abduction","Missing","Missing","Male",""
"Kidnapping/Abduction","Missing","Missing","Missing",""
"Rape","White","Hispanic or Latino","Female",""
"Rape","White","Hispanic or Latino","Male","20"
"Rape","White","Hispanic or Latino","Missing",""
"Rape","White","Not Hispanic or Latino","Female","2"
"Rape","White","Not Hispanic or Latino","Male","87"
"Rape","White","Not Hispanic or Latino","Missing",""
"Rape","White","Unknown","Female",""
"Rape","White","Unknown","Male","8"
"Rape","White","Unknown","Missing",""
"Rape","White","Missing","Female",""
